# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210908_Std2_2/: 13C
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6
# plane	POL=0		POL=0		POL=0		POL=0		POL=0		POL=0	
1	3.000e+00	1.732e+00	1.000e+00	1.000e+00	0.000e+00	0.000e+00	2.000e+00	1.414e+00	1.000e+00	1.000e+00	0.000e+00	0.000e+00
2	0.000e+00	0.000e+00	4.000e+00	2.000e+00	3.000e+00	1.732e+00	1.000e+00	1.000e+00	0.000e+00	0.000e+00	1.000e+00	1.000e+00
3	2.000e+00	1.414e+00	2.000e+00	1.414e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	4.000e+00	2.000e+00	0.000e+00	0.000e+00
4	0.000e+00	0.000e+00	4.000e+00	2.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00
5	4.000e+00	2.000e+00	3.000e+00	1.732e+00	3.000e+00	1.732e+00	0.000e+00	0.000e+00	1.000e+00	1.000e+00	0.000e+00	0.000e+00
6	2.000e+00	1.414e+00	2.000e+00	1.414e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	0.000e+00	0.000e+00	1.000e+00	1.000e+00
7	4.000e+00	2.000e+00	3.000e+00	1.732e+00	1.000e+00	1.000e+00	2.000e+00	1.414e+00	2.000e+00	1.414e+00	0.000e+00	0.000e+00
8	6.000e+00	2.449e+00	3.000e+00	1.732e+00	0.000e+00	0.000e+00	2.000e+00	1.414e+00	3.000e+00	1.732e+00	0.000e+00	0.000e+00
9	0.000e+00	0.000e+00	3.000e+00	1.732e+00	4.000e+00	2.000e+00	0.000e+00	0.000e+00	2.000e+00	1.414e+00	1.000e+00	1.000e+00
10	1.000e+00	1.000e+00	5.000e+00	2.236e+00	2.000e+00	1.414e+00	0.000e+00	0.000e+00	1.000e+00	1.000e+00	0.000e+00	0.000e+00
11	0.000e+00	0.000e+00	3.000e+00	1.732e+00	1.000e+00	1.000e+00	2.000e+00	1.414e+00	3.000e+00	1.732e+00	0.000e+00	0.000e+00
12	1.000e+00	1.000e+00	4.000e+00	2.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.000e+00	1.000e+00	0.000e+00	0.000e+00
13	3.000e+00	1.732e+00	4.000e+00	2.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	0.000e+00	0.000e+00
14	1.000e+00	1.000e+00	2.000e+00	1.414e+00	1.000e+00	1.000e+00	0.000e+00	0.000e+00	1.000e+00	1.000e+00	0.000e+00	0.000e+00
15	2.000e+00	1.414e+00	6.000e+00	2.449e+00	0.000e+00	0.000e+00	3.000e+00	1.732e+00	1.000e+00	1.000e+00	0.000e+00	0.000e+00
16	1.000e+00	1.000e+00	2.000e+00	1.414e+00	1.000e+00	1.000e+00	0.000e+00	0.000e+00	4.000e+00	2.000e+00	0.000e+00	0.000e+00
17	3.000e+00	1.732e+00	1.000e+00	1.000e+00	1.000e+00	1.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00
18	2.000e+00	1.414e+00	6.000e+00	2.449e+00	3.000e+00	1.732e+00	0.000e+00	0.000e+00	3.000e+00	1.732e+00	0.000e+00	0.000e+00
19	2.000e+00	1.414e+00	4.000e+00	2.000e+00	1.000e+00	1.000e+00	2.000e+00	1.414e+00	1.000e+00	1.000e+00	0.000e+00	0.000e+00
20	4.000e+00	2.000e+00	5.000e+00	2.236e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	2.000e+00	1.414e+00	0.000e+00	0.000e+00
