# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210910_std2_2/: 12C15N
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9	MEAN10	Poiss_E10	MEAN11	Poiss_E11	MEAN12	Poiss_E12	MEAN13	Poiss_E13	MEAN14	Poiss_E14	MEAN15	Poiss_E15	MEAN16	Poiss_E16	MEAN17	Poiss_E17	MEAN18	Poiss_E18	MEAN19	Poiss_E19
# plane	POL=1		POL=1		POL=1		POL=1		POL=1		POL=1		POL=1		POL=1		POL=3		POL=1		POL=3		POL=1		POL=3		POL=4		POL=1		POL=3		POL=0		POL=1		POL=4	
11	1.960e+02	1.400e+01	1.330e+02	1.153e+01	3.010e+02	1.735e+01	1.360e+02	1.166e+01	2.690e+02	1.640e+01	2.040e+02	1.428e+01	2.160e+02	1.470e+01	1.100e+02	1.049e+01	2.160e+02	1.470e+01	2.540e+02	1.594e+01	2.440e+02	1.562e+01	2.090e+02	1.446e+01	1.890e+02	1.375e+01	1.910e+02	1.382e+01	1.520e+02	1.233e+01	1.660e+02	1.288e+01	1.300e+02	1.140e+01	1.680e+02	1.296e+01	3.210e+02	1.792e+01
12	1.910e+02	1.382e+01	1.110e+02	1.054e+01	2.980e+02	1.726e+01	1.060e+02	1.030e+01	2.530e+02	1.591e+01	1.930e+02	1.389e+01	2.460e+02	1.568e+01	1.030e+02	1.015e+01	2.660e+02	1.631e+01	2.470e+02	1.572e+01	2.670e+02	1.634e+01	2.380e+02	1.543e+01	1.940e+02	1.393e+01	2.120e+02	1.456e+01	1.480e+02	1.217e+01	1.810e+02	1.345e+01	1.320e+02	1.149e+01	1.580e+02	1.257e+01	3.370e+02	1.836e+01
13	2.030e+02	1.425e+01	1.190e+02	1.091e+01	2.910e+02	1.706e+01	9.600e+01	9.798e+00	2.250e+02	1.500e+01	1.950e+02	1.396e+01	2.270e+02	1.507e+01	1.040e+02	1.020e+01	1.970e+02	1.404e+01	2.340e+02	1.530e+01	2.180e+02	1.476e+01	1.970e+02	1.404e+01	1.730e+02	1.315e+01	1.870e+02	1.367e+01	1.340e+02	1.158e+01	1.570e+02	1.253e+01	1.430e+02	1.196e+01	1.630e+02	1.277e+01	2.760e+02	1.661e+01
14	1.850e+02	1.360e+01	1.070e+02	1.034e+01	2.380e+02	1.543e+01	9.200e+01	9.592e+00	2.000e+02	1.414e+01	1.440e+02	1.200e+01	2.020e+02	1.421e+01	9.400e+01	9.695e+00	1.810e+02	1.345e+01	2.120e+02	1.456e+01	1.940e+02	1.393e+01	1.610e+02	1.269e+01	1.250e+02	1.118e+01	1.450e+02	1.204e+01	1.250e+02	1.118e+01	1.120e+02	1.058e+01	1.280e+02	1.131e+01	1.350e+02	1.162e+01	2.540e+02	1.594e+01
15	1.820e+02	1.349e+01	9.400e+01	9.695e+00	2.250e+02	1.500e+01	1.040e+02	1.020e+01	1.800e+02	1.342e+01	1.390e+02	1.179e+01	1.720e+02	1.311e+01	7.700e+01	8.775e+00	1.900e+02	1.378e+01	1.910e+02	1.382e+01	1.840e+02	1.356e+01	1.520e+02	1.233e+01	1.560e+02	1.249e+01	1.440e+02	1.200e+01	1.190e+02	1.091e+01	1.300e+02	1.140e+01	1.140e+02	1.068e+01	1.230e+02	1.109e+01	2.420e+02	1.556e+01
16	1.610e+02	1.269e+01	8.800e+01	9.381e+00	2.580e+02	1.606e+01	8.800e+01	9.381e+00	1.900e+02	1.378e+01	1.260e+02	1.122e+01	1.930e+02	1.389e+01	8.700e+01	9.327e+00	1.780e+02	1.334e+01	2.000e+02	1.414e+01	1.850e+02	1.360e+01	1.720e+02	1.311e+01	1.580e+02	1.257e+01	1.540e+02	1.241e+01	1.160e+02	1.077e+01	1.430e+02	1.196e+01	1.060e+02	1.030e+01	1.400e+02	1.183e+01	2.400e+02	1.549e+01
17	1.740e+02	1.319e+01	1.110e+02	1.054e+01	2.530e+02	1.591e+01	9.900e+01	9.950e+00	1.840e+02	1.356e+01	1.100e+02	1.049e+01	1.910e+02	1.382e+01	9.600e+01	9.798e+00	2.070e+02	1.439e+01	1.920e+02	1.386e+01	1.940e+02	1.393e+01	1.760e+02	1.327e+01	1.370e+02	1.170e+01	1.640e+02	1.281e+01	1.350e+02	1.162e+01	1.380e+02	1.175e+01	1.080e+02	1.039e+01	1.210e+02	1.100e+01	2.530e+02	1.591e+01
18	1.660e+02	1.288e+01	9.800e+01	9.899e+00	2.410e+02	1.552e+01	7.500e+01	8.660e+00	1.890e+02	1.375e+01	1.510e+02	1.229e+01	1.640e+02	1.281e+01	8.800e+01	9.381e+00	1.660e+02	1.288e+01	2.080e+02	1.442e+01	1.760e+02	1.327e+01	1.440e+02	1.200e+01	1.180e+02	1.086e+01	1.570e+02	1.253e+01	1.060e+02	1.030e+01	1.370e+02	1.170e+01	8.200e+01	9.055e+00	1.290e+02	1.136e+01	2.140e+02	1.463e+01
19	1.600e+02	1.265e+01	9.800e+01	9.899e+00	2.210e+02	1.487e+01	8.100e+01	9.000e+00	1.810e+02	1.345e+01	1.280e+02	1.131e+01	1.870e+02	1.367e+01	8.600e+01	9.274e+00	1.820e+02	1.349e+01	1.980e+02	1.407e+01	1.870e+02	1.367e+01	1.640e+02	1.281e+01	1.340e+02	1.158e+01	1.300e+02	1.140e+01	1.210e+02	1.100e+01	1.180e+02	1.086e+01	1.140e+02	1.068e+01	1.190e+02	1.091e+01	2.420e+02	1.556e+01
20	1.610e+02	1.269e+01	9.700e+01	9.849e+00	2.260e+02	1.503e+01	8.200e+01	9.055e+00	1.540e+02	1.241e+01	1.250e+02	1.118e+01	1.980e+02	1.407e+01	8.600e+01	9.274e+00	1.690e+02	1.300e+01	1.870e+02	1.367e+01	2.060e+02	1.435e+01	1.750e+02	1.323e+01	1.570e+02	1.253e+01	1.500e+02	1.225e+01	1.310e+02	1.145e+01	1.050e+02	1.025e+01	1.400e+02	1.183e+01	1.210e+02	1.100e+01	2.100e+02	1.449e+01
21	1.660e+02	1.288e+01	8.700e+01	9.327e+00	1.990e+02	1.411e+01	8.400e+01	9.165e+00	1.560e+02	1.249e+01	1.400e+02	1.183e+01	1.940e+02	1.393e+01	8.600e+01	9.274e+00	1.540e+02	1.241e+01	2.210e+02	1.487e+01	1.810e+02	1.345e+01	1.890e+02	1.375e+01	1.420e+02	1.192e+01	1.420e+02	1.192e+01	1.270e+02	1.127e+01	1.260e+02	1.122e+01	1.150e+02	1.072e+01	1.370e+02	1.170e+01	2.610e+02	1.616e+01
22	1.590e+02	1.261e+01	8.700e+01	9.327e+00	2.400e+02	1.549e+01	9.000e+01	9.487e+00	1.760e+02	1.327e+01	1.360e+02	1.166e+01	1.670e+02	1.292e+01	8.300e+01	9.110e+00	2.110e+02	1.453e+01	2.030e+02	1.425e+01	1.770e+02	1.330e+01	1.580e+02	1.257e+01	1.420e+02	1.192e+01	1.570e+02	1.253e+01	1.090e+02	1.044e+01	1.520e+02	1.233e+01	1.180e+02	1.086e+01	1.290e+02	1.136e+01	2.370e+02	1.539e+01
23	1.560e+02	1.249e+01	9.700e+01	9.849e+00	2.160e+02	1.470e+01	8.400e+01	9.165e+00	1.730e+02	1.315e+01	1.070e+02	1.034e+01	1.560e+02	1.249e+01	9.800e+01	9.899e+00	2.370e+02	1.539e+01	1.820e+02	1.349e+01	1.640e+02	1.281e+01	1.330e+02	1.153e+01	1.540e+02	1.241e+01	1.450e+02	1.204e+01	1.240e+02	1.114e+01	1.240e+02	1.114e+01	1.330e+02	1.153e+01	1.160e+02	1.077e+01	2.440e+02	1.562e+01
24	1.640e+02	1.281e+01	1.080e+02	1.039e+01	2.120e+02	1.456e+01	9.100e+01	9.539e+00	1.740e+02	1.319e+01	1.380e+02	1.175e+01	1.350e+02	1.162e+01	7.100e+01	8.426e+00	1.760e+02	1.327e+01	2.070e+02	1.439e+01	1.950e+02	1.396e+01	1.610e+02	1.269e+01	1.680e+02	1.296e+01	1.380e+02	1.175e+01	1.100e+02	1.049e+01	9.700e+01	9.849e+00	1.010e+02	1.005e+01	1.330e+02	1.153e+01	2.540e+02	1.594e+01
25	1.580e+02	1.257e+01	1.030e+02	1.015e+01	2.500e+02	1.581e+01	9.000e+01	9.487e+00	1.740e+02	1.319e+01	1.290e+02	1.136e+01	1.620e+02	1.273e+01	8.600e+01	9.274e+00	1.570e+02	1.253e+01	1.650e+02	1.285e+01	1.790e+02	1.338e+01	1.450e+02	1.204e+01	1.390e+02	1.179e+01	1.290e+02	1.136e+01	1.230e+02	1.109e+01	1.550e+02	1.245e+01	1.070e+02	1.034e+01	1.210e+02	1.100e+01	2.180e+02	1.476e+01
